dt	f	t	l	d
2014061613	013	020	87	7904
2014061613	001	001	68	2628
2014061613	001	037	86	2995
2014061613	003	037	79	2182
2014061614	010	026	23	3896
2014061614	026	037	12	1698
2014061615	026	020	72	7220
2014061615	026	020	72	7459
2014061615	001	001	15	2287
2014061615	059	059	42	6183
2014061615	059	059	42	6113
2014061615	022	013	22	2766
2014061616	059	052	14	2297
2014061616	059	052	12	2307
2014061616	026	010	27	4055
2014061616	052	058	15	2017
2014061617	094	094	251	8153
2014061617	094	094	249	8098
2014061617	010	056	73	8821
2014061617	010	056	72	9035
2014061617	025	033	15	2721
2014061617	013	022	31	3924
2014061617	026	026	9	978
2014061617	026	026	7	974
2014061617	013	033	24	4394
2014061617	013	037	8	1457
2014061618	003	056	23	3912
2014061618	037	022	5	1200
2014061618	037	010	34	4378
2014061618	020	020	17	238
2014061618	009	010	46	4520
2014061618	056	056	25	3951
2014061618	056	056	26	3906
2014061618	037	025	9	1982
2014061618	010	001	14	2775
2014061618	026	058	140	3771
2014061618	026	058	138	3642
2014061618	013	022	12	2568
2014061618	059	094	52	9734
2014061619	009	010	4	479
2014061619	001	052	30	7537
2014061619	026	052	19	3979
2014061619	022	013	62	5274
2014061619	022	013	62	5213
2014061619	033	059	25	5923
2014061619	010	013	31	5364
2014061619	009	009	12	432
2014061619	094	059	28	3483
2014061619	052	059	20	3032
2014061620	033	001	16	2773
2014061620	022	037	5	1206
2014061620	058	020	55	8020
2014061620	058	058	88	11755
2014061620	058	058	87	11827
2014061620	052	033	18	3691
2014061620	013	020	18	3540
2014061620	020	020	4	363
2014061621	001	001	27	3626
2014061621	009	013	15	1329
2014061621	010	013	6	735
2014061621	094	033	20	4163
2014061621	025	022	28	3618
2014061621	025	022	25	3534
2014061621	056	056	19	4864
2014061621	020	013	16	2150
2014061621	013	020	23	3158
2014061621	013	020	22	2993
2014061621	001	003	59	6301
2014061621	020	022	4	671
2014061622	052	052	83	13048
2014061622	094	059	14	2662
2014061622	001	001	3	275
2014061622	020	033	23	2824
2014061622	020	033	22	2764
2014061622	052	052	65	11286
2014061622	059	059	80	14496
2014061622	033	052	30	5350
2014061622	033	052	29	5276
2014061622	094	052	16	2552
2014061622	033	052	20	3693
2014061622	013	013	27	3173
2014061622	020	033	16	2080
2014061622	022	022	27	5738
2014061622	059	009	117	13942
2014061622	052	052	19	3193
2014061623	052	058	11	1782
2014061623	025	022	17	2056
2014061623	020	003	24	4378
2014061623	010	010	83	14992
2014061704	003	003	48	8796
2014061704	003	003	49	8645
2014061708	058	052	25	3985
2014061708	013	009	28	2009
2014061709	020	025	17	1549
2014061709	026	001	601	4386
2014061709	020	025	22	3332
2014061709	037	013	8	1439
2014061709	037	026	9	1719
2014061709	022	020	26	3273
2014061709	037	022	5	1180
2014061710	037	025	9	1946
2014061712	020	020	25	2056
2014061712	026	026	26	2513
2014061714	052	010	27	4165
2014061714	010	009	3	488
2014061715	010	010	7	177
2014061715	001	001	16	1033
2014061715	001	003	7	622
2014061715	056	052	20	2746
2014061715	020	025	66	6264
2014061715	020	025	64	6213
2014061715	001	001	3	75
2014061715	001	056	22	3892
2014061715	052	052	26	5086
2014061716	003	001	8	622
2014061716	010	026	111	15270
2014061716	010	026	110	15270
2014061716	010	026	108	15588
2014061716	058	059	24	4725
2014061716	052	052	24	4275
2014061716	052	052	25	4224
2014061716	052	056	10	1464
2014061716	052	058	39	5109
2014061716	052	058	37	5156
2014061716	058	058	5	402
2014061716	058	058	20	3742
2014061717	026	037	20	2434
2014061717	058	056	27	6636
